Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-445.3883	-601.6846	156.2963	1.150095	0.797262	0.202738	2.606784
6	-439.1399	-596.0573	156.9174	1.184111	0.988213	0.0117874	2.192743
12	-428.3976	-586.299	157.9014	1.895347	0.941482	0.0585178	0.8997462
18	-430.3978	-588.468	158.0702	1.819016	0.949981	0.050019	0.7858096
24	-435.9952	-593.4779	157.4827	1.726555	0.973929	0.0260708	1.422538
30	-425.4721	-583.3706	157.8985	1.847922	0.978511	0.021489	0.9544035
36	-429.4747	-587.2403	157.7656	2.149214	0.984146	0.0158536	0.7490808
42	-424.9813	-582.9598	157.9784	1.928805	0.935976	0.0640237	0.7602348
48	-432.9144	-590.7542	157.8398	2.124675	0.829804	0.170196	0.6637221
54	-429.4594	-587.1153	157.6559	2.126363	0.918474	0.0815257	0.9158805
60	-421.3708	-579.2011	157.8303	2.122022	0.765718	0.234282	0.6872216
66	-424.2059	-582.0261	157.8202	1.826764	0.88576	0.11424	1.053521
72	-434.1693	-591.9423	157.7731	2.19804	0.7792	0.2208	0.6498633
78	-427.1173	-584.9638	157.8466	2.152735	0.909545	0.0904548	0.4344944
84	-423.0075	-580.879	157.8715	2.067186	0.853326	0.146674	0.7111689
90	-423.0107	-580.6799	157.6692	1.958995	0.926415	0.0735854	1.071227
96	-428.5672	-586.4396	157.8723	1.755864	0.779008	0.220992	1.071227
102	-435.3619	-592.9824	157.6204	2.021894	0.934924	0.0650757	1.0579
108	-425.951	-583.5766	157.6256	2.351093	0.918608	0.0813922	0.6373474
114	-421.7699	-578.7043	156.9343	1.510329	0.986165	0.0138346	1.966801
120	-429.107	-587.0124	157.9054	1.97316	0.783703	0.216297	0.8002115
126	-439.2103	-597.1489	157.9386	1.951103	0.885026	0.114974	0.785132
132	-432.3335	-590.0458	157.7123	2.096039	0.918163	0.0818367	0.8865084
138	-435.9702	-593.6881	157.7179	2.119491	0.84435	0.15565	0.8523039
144	-438.6798	-596.4737	157.7939	2.113363	0.818986	0.181014	0.760213
150	-432.716	-590.3998	157.6838	2.324524	0.798822	0.201178	0.4860196
156	-438.1448	-595.7596	157.6148	2.364024	0.798043	0.201957	0.6324342
162	-439.0636	-597.0192	157.9555	1.943196	0.906862	0.0931382	0.7724851
168	-428.6015	-586.4983	157.8968	1.993569	0.967947	0.0320531	0.784225
174	-433.9256	-591.5078	157.5822	2.104345	0.978739	0.021261	1.015214
180	-441.4563	-599.0261	157.5698	2.423807	0.906819	0.0931813	0.5919706
186	-429.333	-587.2634	157.9304	2.059876	0.965792	0.0342083	0.6022113
192	-426.9225	-584.493	157.5704	2.434943	0.937956	0.0620436	0.4602614
198	-432.0462	-589.5565	157.5102	2.495142	0.988455	0.0115447	0.4602614
204	-434.3897	-592.0041	157.6144	2.30884	0.892924	0.107076	0.7361374
210	-433.5135	-590.9012	157.3877	1.83245	0.989085	0.0109148	1.414094
216	-427.5841	-585.2774	157.6932	2.075748	0.875413	0.124587	0.9303203
222	-439.6828	-597.5281	157.8453	1.923663	0.581338	0.418662	0.9303203
228	-436.0646	-593.8476	157.783	1.827181	0.949681	0.0503191	1.088027
234	-440.0808	-597.902	157.8212	1.91076	0.939393	0.0606066	0.9694111
240	-447.1521	-604.9981	157.846	1.938766	0.453388	0.546612	0.9130662
246	-432.1734	-590.0681	157.8947	1.872433	0.883216	0.116784	0.9322907
252	-438.1174	-596.0162	157.8988	1.827346	0.932134	0.0678663	0.9754266
258	-434.0922	-592.0743	157.9821	1.959338	0.925253	0.074747	0.7065455
264	-435.3811	-593.2939	157.9128	1.970766	0.925253	0.074747	0.7934657
270	-432.2432	-589.9392	157.696	2.187583	0.975213	0.0247875	0.7934657
276	-422.8408	-580.438	157.5972	2.114222	0.99166	0.00834016	0.9903734
282	-431.1126	-588.8543	157.7416	1.742968	0.985265	0.0147346	1.19965
288	-431.4349	-589.353	157.918	1.566546	0.929773	0.0702269	1.19965
294	-453.073	-610.2149	157.1419	1.118618	0.789671	0.210329	2.089003
300	-430.2311	-587.3056	157.0745	1.584055	0.892979	0.107021	1.82144
306	-435.4122	-592.6077	157.1954	1.513797	0.898879	0.101121	1.786437
312	-430.5055	-587.4383	156.9328	1.587394	0.803096	0.196904	1.915899
318	-423.4939	-581.418	157.924	1.626619	0.81681	0.18319	1.141983
324	-425.9203	-583.5676	157.6473	1.665617	0.907617	0.0923832	1.341259
330	-425.9664	-583.6543	157.688	1.968364	0.899907	0.100093	1.04454
336	-429.8458	-587.625	157.7792	1.651995	0.68223	0.31777	1.24485
342	-438.6153	-596.5091	157.8938	2.034444	0.932333	0.0676671	0.7282745
348	-436.5972	-594.4593	157.862	1.979228	0.982409	0.0175906	0.847666
354	-437.2737	-594.9667	157.693	1.972111	0.951826	0.0481739	1.036109
360	-433.6009	-591.4824	157.8815	1.935861	0.948989	0.0510107	0.8760919
366	-427.2847	-584.9643	157.6796	2.329061	0.910133	0.0898667	0.4996221
372	-440.3496	-598.2899	157.9403	2.051673	0.774389	0.225611	0.5971108
378	-434.3399	-592.0398	157.6999	2.308233	0.932819	0.0671812	0.5164757
384	-424.4062	-582.1662	157.76	2.238389	0.858194	0.141806	0.5754693
390	-421.2666	-579.2768	158.0102	1.786799	0.768	0.232	0.8994396
396	-427.7112	-585.8848	158.1736	1.551248	0.768	0.232	0.9767624
402	-428.4794	-586.5521	158.0727	1.652121	0.768	0.232	0.9767624
408	-433.3794	-591.1687	157.7893	1.933432	0.854538	0.145462	0.9788963
414	-438.2612	-596.3028	158.0417	1.708595	0.912741	0.0872594	0.9502914
420	-430.3385	-588.0793	157.7409	2.203923	0.788329	0.211671	0.7006592
426	-426.0324	-583.7453	157.7129	2.268773	0.734233	0.265767	0.6255049
432	-432.8	-590.0644	157.2645	1.388621	0.509958	0.490042	1.82522
438	-441.1128	-598.5622	157.4495	1.540218	0.89516	0.10484	1.58702
444	-437.0207	-594.8873	157.8666	2.131642	0.772988	0.227012	0.5756847
450	-435.0841	-592.8247	157.7406	1.9604	0.791319	0.208681	1.000821
456	-430.9837	-588.8145	157.8308	2.17783	0.883165	0.116835	0.4927293
462	-424.2143	-581.9287	157.7144	2.293493	0.973868	0.0261317	0.5208737
468	-423.2681	-580.9281	157.6599	2.347938	0.976141	0.0238586	0.5208737
474	-426.7881	-584.2477	157.4596	2.520326	0.976141	0.0238586	0.3894741
480	-421.1683	-578.7673	157.5989	2.381	0.995416	0.00458395	0.3894741
486	-432.2634	-589.9974	157.7341	2.274555	0.997989	0.00201109	0.4938923
492	-421.0422	-578.6753	157.6331	2.374575	0.993134	0.006866	0.5232965
498	-428.1992	-586.0711	157.872	1.936802	0.947759	0.0522406	0.8860436
